"municipio","provincia","ccaa","var_pob_2014_2023","num_infra_nuevas"
"Escatrón","Zaragoza","Aragón","5.480682839173411","80"
"Zaragoza","Zaragoza","Aragón","2.470505571586860","57"
"Madrid","Madrid","Comunidad de Madrid","5.269750903171491","38"
"Lorca","Murcia","Región de Murcia","7.288658333242519","35"
"Jumilla","Murcia","Región de Murcia","5.134243994347620","34"
"Albacete","Albacete","Castilla-La Mancha","0.416843008458608","29"
"Sargentes de la Lora","Burgos","Castilla y León","-4.477611940298510","27"
"Burgos","Burgos","Castilla y León","-1.870331203312030","25"
"Tabernas","Almería","Andalucía","10.586944596818400","23"
"Puertollano","Ciudad Real","Castilla-La Mancha","-10.830303509326599","22"
"Murcia","Murcia","Región de Murcia","6.700977003129320","20"
"Moratalla","Murcia","Región de Murcia","-7.677333008881860","18"
"Arico","Santa Cruz de Tenerife","Canarias","17.601043024771798","18"
"Chinchilla de Monte-Aragón","Albacete","Castilla-La Mancha","11.368626494266902","18"
"Alhama de Murcia","Murcia","Región de Murcia","9.306038125645598","17"
"Huelva","Huelva","Andalucía","-3.179088661250440","16"
"Tudela","Navarra","Comunidad Foral de Navarra","7.783355199361130","16"
"Cartagena","Murcia","Región de Murcia","0.738735325778121","16"
"Buenavista del Norte","Santa Cruz de Tenerife","Canarias","-3.562653562653560","14"
"Muras","Lugo","Galicia","-13.793103448275902","13"
"Cieza","Murcia","Región de Murcia","0.633127994524298","13"
"La Roda","Albacete","Castilla-La Mancha","-2.734839476813320","13"
"Cáceres","Cáceres","Extremadura","0.375567263053571","13"
"Medina del Campo","Valladolid","Castilla y León","-5.565478988436590","13"
"Almochuel","Zaragoza","Aragón","-42.857142857142904","13"
"Yecla","Murcia","Región de Murcia","4.075593319660119","13"
"La Muela","Zaragoza","Aragón","29.668552950687101","13"
"Toro","Zamora","Castilla y León","-10.274046211714101","13"
"El Bonillo","Albacete","Castilla-La Mancha","-10.317997293640099","13"
"As Pontes de García Rodríguez","A Coruña","Galicia","-7.212713936430319","12"
"Palos de la Frontera","Huelva","Andalucía","20.386018820818101","12"
"Juneda","Lleida","Cataluña-Catalunya","-0.543322848155562","11"
"Olmedilla de Alarcón","Cuenca","Castilla-La Mancha","-18.404907975460098","11"
"Barcelona","Barcelona","Cataluña-Catalunya","3.603126837104170","11"
