"id_unico","nombre","nombre_municipio","distancia_m_linea_electrica","ccaa","provincia"
175,"Cañadas","Castril","14253.34791272","Andalucía","Granada"
202,"Alicún de Ortega","Alicún de Ortega","15883.0504053","Andalucía","Granada"
302,"Gorafe","Gorafe","9869.13443949","Andalucía","Granada"
303,"Los Torres","Castril","12780.8434565","Andalucía","Granada"
309,"Las Vertientes","Cúllar","16017.09254455","Andalucía","Granada"
270,"Cebas","Castril","12861.92674686","Andalucía","Granada"
714,"Yélamos de Abajo","Yélamos de Abajo","2112.15444571","Castilla-La Mancha","Guadalajara"
326,"Fuente Vera","Castril","9274.46768451","Andalucía","Granada"
733,"Riba de Saelices","Riba de Saelices","5234.27737959","Castilla-La Mancha","Guadalajara"
735,"Villares de Jadraque","Villares de Jadraque","17182.070445","Castilla-La Mancha","Guadalajara"
781,"La Nava","El Ordial","99999","Castilla-La Mancha","Guadalajara"
402,"Puebla de Don Fadrique","Puebla de Don Fadrique","19569.47603303","Andalucía","Granada"
443,"Alfornón","Sorvilán","6798.11822083","Andalucía","Granada"
886,"Chera","Prados Redondos","9664.03336521","Castilla-La Mancha","Guadalajara"
888,"Arbeteta","Arbeteta","11058.47148664","Castilla-La Mancha","Guadalajara"
1469,"Rodellar","Bierge","13871.58270128","Aragón","Huesca"
498,"Villanueva de las Torres","Villanueva de las Torres","11358.36433469","Andalucía","Granada"
517,"Venta Quemada","Cúllar","11082.35805063","Andalucía","Granada"
518,"Zafarraya","Zafarraya","12863.63610625","Andalucía","Granada"
533,"Dehesas de Guadix","Dehesas de Guadix","13052.90099548","Andalucía","Granada"
556,"Pulpite","Cúllar","5457.63042168","Andalucía","Granada"
563,"Almontaras","Castril","13482.14997436","Andalucía","Granada"
591,"Salmerón","Salmerón","1964.2593348","Castilla-La Mancha","Guadalajara"
595,"Lebrancón","Corduente","9766.1914309","Castilla-La Mancha","Guadalajara"
604,"Teroleja","Corduente","2592.22671476","Castilla-La Mancha","Guadalajara"
620,"Yela","Brihuega","13011.70473634","Castilla-La Mancha","Guadalajara"
628,"Huertahernando","Huertahernando","11136.87086962","Castilla-La Mancha","Guadalajara"
635,"Cubillejo de la Sierra","Molina de Aragón","10074.38094108","Castilla-La Mancha","Guadalajara"
609,"Prádena de Atienza","Prádena de Atienza","99999","Castilla-La Mancha","Guadalajara"
617,"Motos","Alustante","99999","Castilla-La Mancha","Guadalajara"
638,"Valdepinillos","La Huerce","99999","Castilla-La Mancha","Guadalajara"
701,"Peralveche","Peralveche","6424.01775198","Castilla-La Mancha","Guadalajara"
708,"Prados Redondos","Prados Redondos","8379.51228178","Castilla-La Mancha","Guadalajara"
689,"Almiruete","Tamajón","99999","Castilla-La Mancha","Guadalajara"
699,"Roblelacasa","Campillo de Ranas","99999","Castilla-La Mancha","Guadalajara"
710,"Zaorejas","Zaorejas","99999","Castilla-La Mancha","Guadalajara"
750,"Colmenar de la Sierra","El Cardoso de la Sierra","15094.0989618","Castilla-La Mancha","Guadalajara"
759,"Alcolea de las Peñas","Alcolea de las Peñas","18686.37081644","Castilla-La Mancha","Guadalajara"
764,"Molina de Aragón","Molina de Aragón","0","Castilla-La Mancha","Guadalajara"
771,"El Olivar","El Olivar","356.89223806","Castilla-La Mancha","Guadalajara"
800,"Balconete","Brihuega","4841.82445267","Castilla-La Mancha","Guadalajara"
801,"Torete","Corduente","10656.74947263","Castilla-La Mancha","Guadalajara"
810,"La Yunta","La Yunta","18373.12140795","Castilla-La Mancha","Guadalajara"
828,"El Cardoso de la Sierra","El Cardoso de la Sierra","9393.44374602","Castilla-La Mancha","Guadalajara"
